36,SAPHIRE HILL,,,2390,,SPHR 
36,SUN,,,2391,,SUN
50,SANTA MONICA VALLEY ,,,2392,,SMV
47,CitraLand Kendari,,,2394,,CLK
47,Green Leaf,,,2395,,GL
47,Spazia Arcade - Food Area,,,2396,,SAF
47,Spazia Arcade - non Food Area,,,2397,,SAN
47,The Gateway,,,2398,,TG
47,The Imperium,,,2399,,TIM
47,Blue Stone,,,2400,,BLS
47,The Corridor,,,2401,,TCR
47,Ciputra Water Park,,,2402,,CWP
47,Spazia Samudra,,,2403,,SPS
47,Water Treatment Plan,,,2404,,WTP
47,G-WALK,,,2405,,GW
2079,ONEGA,,,2406,,ONG
2079,LUGANO,,,2407,,LGN
2079,DIAMOND,,,2408,,DM
2079,EMERALD,,,2409,,ED
61,CROWN HILL,,,2411,,CH   
61,DIAMOND HILL,,,2412,,DH   
61,EMERALD HILL,,,2413,,EH   
61,FLUORITE HILL,,,2414,,FH   
61,GARNET HILL,,,2415,,GH   
61,HORIZON HILL,,,2416,,HH   
61,MANSION PARK,,,2417,,MP   
61,DIAMOND HILL,,,2418,,RB   
61,DIAMOND HILL,,,2419,,RC   
61,DIAMOND HILL,,,2420,,RD   
61,DIAMOND HILL,,,2421,,RE   
37,The East Centrum,,,2423,,TEC
37,CitraSun Garden Yogyakarta,,,2424,,CSGY
37,The East Centrum,,,2425,,TEC
37,CitraSun Garden Yogyakarta,,,2426,,CSGY
2075,Fraser park,,,2427,,F
2075,Lagoon Residence,,,2428,,E
5,RUKO ORCHID BOULEVARD,,,2429,,ROB01
3032,THE AMSTERDAM,,,2431,,AMS
3031,RUKO BLOK A,,,2432,,RA
105,THE GREENLAKE,,,2433,,GL   
105,NORTH AVENUE SHOPHOUSES,,,2434,,RK   
2079,INARI,,,2435,,INA
44,COUNTRY ESTATE,,,2436,,COST 
44,PASADENA HILLS,,,2437,,COST2
44,SUNRISE HILLS,,,2438,,COST3
44,ROSEWOOD HILLS,,,2439,,COST4
44,ORLANDO HILLS,,,2440,,COST5
44,MONTANA HILLS,,,2441,,COST6
44,GOLF MANSION,,,2442,,COST7
44,THE WOODS,,,2443,,COST8
44,THE EMERALD,,,2444,,COST9
44,PANDAAN CBD,,,2445,,FJ   
44,FOOTHILL ESTATE,,,2446,,FOST 
44,GOLF ESTATE,,,2447,,GOST 
44,RESIDENCES,,,2448,,GOST1
44,GOLF MANSION,,,2449,,GOST2
44,GOLF MANSION PREMIUM,,,2450,,GOST3
44,THE SAGAMORE HILLS,,,2451,,GOST4
44,CYPRESS POINT HILLS,,,2452,,GOST5
44,DE MANSION,,,2453,,GOST6
44,KEUKENHOF HILLS,,,2454,,GOST7
44,THE SAGUARA,,,2455,,GOST8
44,BELMOND RESORT,,,2456,,GOST9
44,GOLF REGENCY,,,2457,,GOSTR
44,GOLF VILLA,,,2458,,GOVL 
44,GRAND RIVIERA,,,2459,,GRV  
44,ROYAL GOLF ESTATE,,,2460,,RGE  
44,TD,,,2461,,TD
4063,CORNELL,,,2579,,NTC
4063,BERKELEY,,,2580,,STB
5,BUKIT SALVIA,,,2581,,BSL01
41,Balerina Regency,,,2582,,BLREG
41,CHI WALK,,,2583,,CW   
41,Graha Balerina,,,2584,,GRBL 
41,Graha Simphony,,,2585,,GRSIM
41,Grand Sonata Regency,,,2586,,GSREG
41,GATEWAY,,,2587,,GTW  
41,GREENVILLE,,,2588,,GV   
41,HARMONI CITY CENTER,,,2589,,HCC  
41,Melody Garden,,,2590,,MLGDN
41,NEW YORK,,,2591,,NY   
41,ROTTERDAM,,,2592,,RD   
41,RIVER SIDE,,,2593,,RV   
41,STAMFORD,,,2594,,ST   
41,HARMONI CITY CENTER 2,,,2595,,HCC2
41,THE CONCERTO,,,2596,,THCCT
41,The Recital,,,2597,,THREC
41,Taman Rhapsody,,,2598,,TMRAP
43,CITRAINDAH,,,2599,,CI
46,BALLERINA PARK,,,2600,,BP   
46,CRYSTAL HILL,,,2601,,CH   
46,CRYSTAL SQUARE,,,2602,,CS   
46,WATERPARK SQUARE,,,2603,,WS   
9,BLOK CC,,,2604,,BLKCC
36,HORISON HILL ,,,2605,,HRSN
36,HORIZON HILL,,,2606,,HRZN
2076,THE AVENUE 1,,,2607,,RK-AV
44,NEW BELMOND RESORT,,,2608,,GOS10
2075,CLUSTER A,,,2609,,A
30,VICTORIA PARK,,,2610,,VICT
5,BUKIT SAKURA,,,2611,,BSK01
9,CLOVER GARDEN,,,2617,,CLGRD
3032,DIAMOND REGENCY,,,2618,,DR
4063,RUKOBARSACITY,,,2619,,RCB
44,BLOOMFIELD MOUNTAIN RESORT,,,2638,,GOST11
3032,THE GOLDEN PEAK,,,2639,,TGP
2076,THE AVENUE 2,,,2653,,RK-AV2
2069,PICASSO,,,2686,,PCS
5103,RAFFLES PLACE,,,2709,,RAF
5103,FULLERTON,,,2710,,FUL
5101,ALESSANDRO,,,2736,,ALE
2076,MONTEVERDE THE NEW LIVISTONA,,,2749,,MV-NLI
38,RED TERRACOTTA,,,2765,,RT
5,RUKO JASMINE BOULEVARD,,,2766,,RJB01
3031,BOULEVARD,,,2782,,BLV
5,BUKIT MELIA,,,2807,,BML01
2075,GRANBURY,,,2808,,G
3032,PLAZA GETSEMANI,,,2809,,PG
