no_bap,no_voucher,date,
BAP 13-0870,241/SBM/PRS/13.01,2013-10-28,241/SBM/1/1.4.4/VIII/13
BAP 13-0871,203/SBM/PRS/13.01,2013-11-07,203/SBM/1/1.1.8/VII/13
BAP 13-0872,270/SBM/RMH/12.07,2013-10-28,270/SBM/1/31.26.1/X/12
BAP 13-0872,270/SBM/RMH/12.07,2013-10-28,IL.002/T-270/12
BAP 13-0872,270/SBM/RMH/12.07,2013-10-28,IL.002/T-270/12
BAP 13-0872,270/SBM/RMH/12.07,2013-10-28,IL.003/T-270/13
BAP 13-0872,270/SBM/RMH/12.07,2013-10-28,IL.003/T-270/13
BAP 13-0873,320/SBM/RMH/12.06,2013-10-28,320/SBM/1/31.26.1/XII/12
BAP 13-0873,320/SBM/RMH/12.06,2013-10-28,IL.001/T-320/12
BAP 13-0873,320/SBM/RMH/12.06,2013-10-28,IL.001/T-320/12
BAP 13-0874,036/SBM/RMH/13.08,2013-10-28,036/SBM/1/36.26.1/II/13
BAP 13-0875,035/SBM/RMH/13.07,2013-10-28,035/SBM/1/36.26.1/II/13
BAP 13-0877,228/SBM/RMH/12.6,2013-10-29,228/SBM/1/5.26.1/IX/12
BAP 13-0878,299/SBM/RMH/12.06,2013-10-29,299/SBM/1/38.26.1/XI/12
BAP 13-0879,298/SBM/RMH/12.06,2013-10-31,298/SBM/1/38.26.1/XI/12
BAP 13-0880,176/SBM/ME/13.01,2013-10-31,176/SBM/1//27.6.6/VI/13
BAP 13-0880,176/SBM/ME/13.01,2013-10-31,176/SBM/1//27.6.6/VI/13
BAP 13-0881,298/SBM/JPO/13.01,2013-10-31,298/SBM/1/1.4.3/X/13
BAP 13-0882,231/SBM/RMH/13.01,2013-11-04,231/SBM/1/5.26.1/VIII/13
BAP 13-0883,221/SBM/RMH/12.08,2013-11-04,221/SBM/1/35.26.1/IX/12
BAP 13-0883,221/SBM/RMH/12.08,2013-11-04,IL.001/T-221/12
BAP 13-0884,290/SBM/RMH/13.01,2013-11-04,290/SBM/1/36.26.1/IX/13
BAP 13-0885,305/SBM/RMH/13.01,2013-11-04,305/SBM/1/5.26.1/X/13
BAP 13-0886,306/SPK/EST/13.01,2013-11-04,306/SPK/EST/CG/X/13
BAP 13-0887,153/SBM/RMH/13.02,2013-11-07,153/SBM/1/27.26.1/V/13
BAP 13-0889,096/SBM/RMH/13.05,2013-11-07,096/SBM/1/36.26.1/IV/13
BAP 13-0890,085/SBM/RMH/13.05,2013-11-07,085/SBM/1/35.26.1/IV/13
BAP 13-0891,089/SBM/RMH/13.05,2013-11-07,089/SBM/1/5.26.1/IV/13
BAP 13-0892,016/SBM/RMH/13.05,2013-11-07,016/SBM/1/38.26.1/I/13
BAP 13-0892,016/SBM/RMH/13.05,2013-11-07,016/SBM/1/38.26.1/I/13
BAP 13-0893,290/SBM/RMH/12.05,2013-08-22,290/SBM/1/34.26.1/XI/12
BAP 13-0893,290/SBM/RMH/12.05,2013-08-22,IL.002/T-290/12
BAP 13-0893,290/SBM/RMH/12.05,2013-08-22,IL.002/T-290/12
BAP 13-0893,290/SBM/RMH/12.05,2013-08-22,IL.002/T-290/12
BAP 13-0893,290/SBM/RMH/12.05,2013-08-22,IL.002/T-290/12
BAP 13-0894,290/SBM/RMH/12.06,2013-11-07,290/SBM/1/34.26.1/XI/12
BAP 13-0895,232/SBM/RMH/12.06,2013-11-07,232/SBM/1/34.26.1/IX/12
BAP 13-0895,232/SBM/RMH/12.06,2013-11-07,IL.001/T-232/12
BAP 13-0895,232/SBM/RMH/12.06,2013-11-07,IL.003/T-232/12
BAP 13-0896,240/SBM/PRS/13.03,2013-11-07,240/SBM/1/27.3.4/VIII/13
BAP 13-0896,240/SBM/PRS/13.03,2013-11-07,240/SBM/1/27.3.4/VIII/13
BAP 13-0897,223/SBM/RMH/12.07,2013-11-11,223/SBM/1/5.26.1/IX/12
BAP 13-0898,132/SBM/RMH/13.04,2013-11-11,132/SBM/1/27.26.1/V/13
BAP 13-0899,269/SBM/RMH/13.02,2013-11-07,269/SBM/1/36.26.1/IX/13
BAP 13-0900,285/SBM/RMH/13.02,2013-11-07,285/SBM/1/36.26.1/IX/13
BAP 13-0902,049/SBM/RMH/12.08,2013-11-07,049/SBM/1/36.26.1/II/12
BAP 13-0902,049/SBM/RMH/12.08,2013-11-07,IL.006/T-049/12
BAP 13-0903,009/SBM/RMH/12.08,2013-11-07,009/SBM/1/36.26.1/I/12
BAP 13-0903,009/SBM/RMH/12.08,2013-11-07,IL.005/T-009/12
BAP 13-0903,009/SBM/RMH/12.08,2013-11-07,IL.006/T-009/12
BAP 13-0903,009/SBM/RMH/12.08,2013-11-07,IL.007/T-009/12
BAP 13-0905,010/SBM/RMH/12.07,2013-11-07,010/SBM/1/36.26.1/12
BAP 13-0905,010/SBM/RMH/12.07,2013-11-07,IL.003/T-010/12
BAP 13-0905,010/SBM/RMH/12.07,2013-11-07,IL.008/T-010/12
BAP 13-0905,010/SBM/RMH/12.07,2013-11-07,IL.010/T-010/12
BAP 13-0905,010/SBM/RMH/12.07,2013-11-07,IL.010/T-010/12
BAP 13-0905,010/SBM/RMH/12.07,2013-11-07,IL.010/T-010/12
BAP 13-0906,234/SBM/KSL/13.01,2013-11-12,234/SBM/1/36.1.8/VIII/13
BAP 13-0907,330/SBM/PROM/13.01,2013-11-11,330/SBM/Prom/Mkt/X/13
BAP 13-0908,283/SPK/EST/13.01,2013-11-07,283/SPK/EST/CG/IX/13
BAP 13-0909,283/SPK/EST/13.02,2013-11-07,283/SPK/EST/CG/IX/13
BAP 13-0910,282/SPK/EST/13.01,2013-11-07,282/SPK/EST/CG/IX/13
BAP 13-0911,282/SPK/EST/13.02,2013-11-07,282/SPK/EST/CG/IX/13
BAP 13-0912,321/SBM/KSL/13.01,2013-11-12,321/SBM/1/1.1.7/X/13
BAP 13-0913,222/SBM/RMH/12.06,2013-11-14,222/SBM/1/30.26.1/IX/12
BAP 13-0913,222/SBM/RMH/12.06,2013-11-14,Add-01-222/12
BAP 13-0914,067/SBM/RMH/13.05,2014-01-16,067/SBM/1/38.26.1/III/13
BAP 13-0914,067/SBM/RMH/13.05,2014-01-16,067/SBM/1/38.26.1/III/13
BAP 13-0915,296/SBM/RMH/12.06,2013-11-14,296/SBM/1/38.26.1/XI/12
BAP 13-0917,164/SBM/RMH/12.06,2013-11-14,164/SBM/1/38.26.1/VII/12
BAP 13-0918,131/SBM/RMH/12.07,2013-11-14,131/SBM/1/38.26.1/VI/12
BAP 13-0919,120/SBM/RMH/12.08,2013-11-14,120/SBM/1/38.26.1/VI/12
BAP 13-0922,182/SBM/ME/13.01,2013-11-12,182/SBM/1/27.5.6/VI/13
BAP 13-0922,182/SBM/ME/13.01,2013-11-12,182/SBM/1/27.5.6/VI/13
BAP 13-0922,182/SBM/ME/13.01,2013-11-12,182/SBM/1/27.5.6/VI/13
BAP 13-0922,182/SBM/ME/13.01,2013-11-12,182/SBM/1/27.5.6/VI/13
BAP 13-0922,182/SBM/ME/13.01,2013-11-12,182/SBM/1/27.5.6/VI/13
BAP 13-0922,182/SBM/ME/13.01,2013-11-12,182/SBM/1/27.5.6/VI/13
BAP 13-0923,066/SBM/RMH/13.05,2013-11-14,066/SBM/1/31.26.1/III/13
BAP 13-0924,311/SBM/RMH/13.01,2013-11-12,311/SBM/1/35.26.1/X/13
BAP 13-0925,181/SBM/RMH/13.02,2013-11-14,181/SBM/1/38.26.1/VI/13
BAP 13-0926,146/SBM/RMH/13.03,2013-11-14,146/SBM/1/38.26.1/V/13
BAP 13-0927,280/SBM/RMH/12.05,2013-11-14,280/SBM/1/26.26.1/XI/12
BAP 13-0927,280/SBM/RMH/12.05,2013-11-14,280/SBM/1/26.26.1/XI/12
BAP 13-0928,102/SBM/RMH/13.03,2013-11-18,102/SBM/1/38.26.1/IV/13
BAP 13-0929,229/SBM/RMH/13.02,2013-11-14,229/SBM/1/38.26.1/VIII/13
BAP 13-0930,264/SBM/RMH/13.02,2013-11-14,264/SBM/1/38.26.1/IX/13
BAP 13-0931,233/SBM/KSL/13.01,2013-11-14,233/SBM/1/36.1.8/VIII/13
BAP 13-0932,196/SBM/RMH/12.07,2013-11-14,196/SBM/1/38.26.1/VIII/12
BAP 13-0932,196/SBM/RMH/12.07,2013-11-14,IL.001/T-196/12
BAP 13-0932,196/SBM/RMH/12.07,2013-11-14,IL.001/T-196/12
BAP 13-0932,196/SBM/RMH/12.07,2013-11-14,IL.001/T-196/12
BAP 13-0933,251/SBM/KSL/13.01,2013-11-18,251/SBM/1/1.1.7/IX/13
BAP 13-0935,229/SBM/RMH/12.06,2013-11-14,229/SBM/1/38.26.1/IX/12
BAP 13-0935,229/SBM/RMH/12.06,2013-11-14,IL.002/T-229/12
BAP 13-0935,229/SBM/RMH/12.06,2013-11-14,IL.002/T-229/12
BAP 13-0935,229/SBM/RMH/12.06,2013-11-14,IL.002/T-229/12
BAP 13-0936,333/SBM/RMH/12.06,2013-11-14,333/SBM/1/38.26.1/XII/12
BAP 13-0937,336/SBM/RMH/13.01,2013-11-14,336/SBM/1/38.26.1/X/13
BAP 13-0938,213/SBM/PRS/13.01,2013-11-18,213/SBM/1/36.11.4/VIII/13
BAP 13-0939,109/SBM/RMH/13.05,2013-11-18,109/SBM/1/38.26.1/IV/13
BAP 13-0940,212/SPK/EST/13.01,2013-11-18,212/SPK/EST/CG/VII/13
BAP 13-0941,268/SBM/RMH/13.01,2013-11-18,268/SBM/1/38.26.1/IX/13
BAP 13-0941,268/SBM/RMH/13.01,2013-11-18,268/SBM/1/38.26.1/IX/13
BAP 13-0942,126/SBM/RMH/13.04,2013-11-18,126/SBM/1/35.26.1/V/13
BAP 13-0943,048/SBM/RMH/13.05,2013-11-18,048/SBM/1/36.26.1/II/13
BAP 13-0943,048/SBM/RMH/13.05,2013-11-18,048/SBM/1/36.26.1/II/13
BAP 13-0944,254/SBM/RMH/12.07,2013-11-18,254/SBM/1/5.26.1/X/12
BAP 13-0944,254/SBM/RMH/12.07,2013-11-18,IL.002/T-254/12
BAP 13-0944,254/SBM/RMH/12.07,2013-11-18,IL.003/T-254/12
BAP 13-0944,254/SBM/RMH/12.07,2013-11-18,IL.002/T-254/12
BAP 13-0944,254/SBM/RMH/12.07,2013-11-18,IL.003/T-254/12
BAP 13-0944,254/SBM/RMH/12.07,2013-11-18,IL.005/T-254/12
BAP 13-0944,254/SBM/RMH/12.07,2013-11-18,IL.005/T-254/12
BAP 13-0945,161/SBM/RMH/13.04,2013-11-19,161/SBM/1/38.26.1/V/13
BAP 13-0946,325/SPK/EST/13.01,2013-11-18,325/SPK/EST/CG/X/13
BAP 13-0947,018/SBM/ME/12.05,2013-11-19,018/SBM/1/36.6.6/I/12
BAP 13-0948,288/SPK/EST/13.01,2013-11-19,288/SPK/EST/CG/IX/13
BAP 13-0949,272/SPK/EST/13.01,2013-11-19,272/SPK/EST/CG/IX/13
BAP 13-0949,272/SPK/EST/13.01,2013-11-19,272/SPK/EST/CG/IX/13
BAP 13-0950,131/SPK/EST/13.02,2013-11-19,131/SPK/EST/CG/V/13
BAP 13-0951,012/SBM/RMH/13.06,2013-11-19,012/SBM/1/26.26.1/I/13
BAP 13-0952,334/SBM/RMH/12.04,2013-11-14,334/SBM/1/35.26.1/XII/12
BAP 13-0952,334/SBM/RMH/12.04,2013-11-14,334/SBM/1/35.26.1/XII/12
BAP 13-0952,334/SBM/RMH/12.04,2013-11-14,Add-01-334/12
BAP 13-0952,334/SBM/RMH/12.04,2013-11-14,Add-01-334/12
BAP 13-0954,186/SBM/RMH/12.07,2013-11-28,186/SBM/1/38.26.1/VIII/12
BAP 13-0954,186/SBM/RMH/12.07,2013-11-28,IL.003/T-186/12
BAP 13-0954,186/SBM/RMH/12.07,2013-11-28,IL.003/T-186/12
BAP 13-0954,186/SBM/RMH/12.07,2013-11-28,IL.004/T-186/12
BAP 13-0954,186/SBM/RMH/12.07,2013-11-28,IL.004/T-186/12
BAP 13-0954,186/SBM/RMH/12.07,2013-11-28,IL.003/T-186/12
BAP 13-0954,186/SBM/RMH/12.07,2013-11-28,IL.004/T-186/12
BAP 13-0955,240/SBM/RMH/12.06,2014-02-18,240/SBM/1/38.26.1/X/12
BAP 13-0955,240/SBM/RMH/12.06,2014-02-18,IL.002/T-240/12
BAP 13-0955,240/SBM/RMH/12.06,2014-02-18,IL.002/T-240/12
BAP 13-0955,240/SBM/RMH/12.06,2014-02-18,IL.003/T-240/12
BAP 13-0955,240/SBM/RMH/12.06,2014-02-18,IL.003/T-240/12
BAP 13-0955,240/SBM/RMH/12.06,2014-02-18,IL.002/T-240/12
BAP 13-0955,240/SBM/RMH/12.06,2014-02-18,IL.003/T-240/12
BAP 13-0956,232/SBM/PRS/13.03,2013-11-19,232/SBM/1/5.13.4/VIII/13
BAP 13-0957,145/SBM/RMH/13.05,2013-11-19,145/SBM/1/36.26.1/V/13
BAP 13-0958,133/SBM/RMH/13.05,2013-11-19,133/SBM/1/36.26.1/V/13
BAP 13-0959,100/SBM/RMH/13.06,2013-11-19,100/SBM/1/36.26.1/IV/13
BAP 13-0960,072/SBM/KSL/13.03,2013-11-07,072/SBM/1/1.1.8/III/13
BAP 13-0962,283/SPK/EST/13.03,2013-11-21,283/SPK/EST/CG/IX/13
BAP 13-0963,192/SPK/TMN/13.05,2013-11-21,192/SPK/EST/CG/VII/13
BAP 13-0964,282/SPK/EST/13.03,2013-11-21,282/SPK/EST/CG/IX/13
BAP 13-0965,225/SBM/TMN/13.01,2013-11-21,225/SBM/1/5.12.5/VIII/13
BAP 13-0965,225/SBM/TMN/13.01,2013-11-21,225/SBM/1/5.12.5/VIII/13
BAP 13-0965,225/SBM/TMN/13.01,2013-11-21,225/SBM/1/5.12.5/VIII/13
BAP 13-0966,135/SBM/PRS/13.02,2013-11-19,135/SBM/1/27.4.4/V/13
BAP 13-0967,142/SBM/PRS/13.02,2013-11-19,142/SBM/1/19.4.4/V/13
BAP 13-0968,101/SBM/PRS/13.02,2013-11-19,101/SBM/1/19.4.4/IV/13
BAP 13-0969,190/SBM/PRS/13.02,2013-11-19,190/SBM/1/27.4.4/VII/13
BAP 13-0970,062/SBM/RMH/13.06,2013-12-19,062/SBM/1/35.26.1/III/13
BAP 13-0971,074/SBM/13.05,2013-11-22,074/SBM/1/36.26.1/III/13
BAP 13-0972,313/SBM/PRS/13.02,2013-11-19,313/SBM/1/27.2.4/XII/12
BAP 13-0973,137/SBM/PRS/13.02,2013-11-19,137/SBM/1/19.4.4/V/13
BAP 13-0974,293/SBM/PRS/13.01,2013-11-19,293/SBM//36.3.4/IX/13
BAP 13-0975,236/SBM/PRS/13.01,2013-11-19,236/SBM/1/27.4.4/VIII/13
BAP 13-0976,239/SBM/PRS/13.01,2013-11-19,239/SBM/1/27.4.4/VIII/13
BAP 13-0977,166/SBM/RMH/12.08,2013-11-21,166/SBM/1/38.26.1/VII/12
BAP 13-0979,044/SBM/RMH/13.05,2013-11-19,044/SBM/1/31.26.1/II/13
BAP 13-0980,050/SBM/RMH/13.05,2013-11-19,050/SBM/1/31.26.1/II/13
BAP 13-0982,332/SBM/RMH/12.04,2013-11-21,332/SBM/1/38.26.1/XII/12
BAP 13-0984,040/SBM/RMH/12.05,2013-11-19,040/SBM/1/36.26.1/II/12
BAP 13-0984,040/SBM/RMH/12.05,2013-11-19,IL.001/K-040/12
BAP 13-0984,040/SBM/RMH/12.05,2013-11-19,IL.001/K-040/12
BAP 13-0985,067/SBM/RMH/12.05,2013-11-19,067/SBM/1/36.26.1/III/12
BAP 13-0986,039/SBM/RMH/12.05,2013-11-19,039/SBM/1/36.26.1/II/12
BAP 13-0988,204/SBM/RMH/13.03,2013-11-21,204/SBM/1/36.26.1/VII/13
BAP 13-0989,035/SBM/RMH/13.08,2013-11-28,035/SBM/1/36.26.1/II/13
BAP 13-0990,177/SPK/EST/13.04,2013-11-21,177/SPK/EST/CG/VI/13
BAP 13-0990,177/SPK/EST/13.04,2013-11-21,IL.004/K-177/13
BAP 13-0991,152/SBM/RMH/13.03,2013-11-21,152/SBM/1/27.26.1/V/13
BAP 13-0992,303/SBM/RMH/13.01,2013-11-25,303/SBM/1/5.26.1/X/13
BAP 13-0993,178/SPK/EST/13.04,2013-11-21,178/SPK/EST/CG/VI/13
BAP 13-0993,178/SPK/EST/13.04,2013-11-21,IL.004/K-178/1
BAP 13-0995,083/SBM/PRS/13.01,2013-11-21,083/SBM/1/1.1.7/IV/13
BAP 13-0995,083/SBM/PRS/13.01,2013-11-21,IL.001/K-083/13
BAP 13-0995,083/SBM/PRS/13.01,2013-11-21,IL.001/K-083/13
BAP 13-0996,247/SBM/RMH/12.08,2013-12-19,247/SBM/1/38.26.1/X/12
BAP 13-0996,247/SBM/RMH/12.08,2013-12-19,IL.001/T-247/12
BAP 13-0996,247/SBM/RMH/12.08,2013-12-19,IL.001/T-247/12
BAP 13-0996,247/SBM/RMH/12.08,2013-12-19,IL.001/T-247/12
BAP 13-0998,250/SBM/PRS/13.02,2013-11-28,250/SBM/1/27.3.4/IX/13
BAP 13-0998,250/SBM/PRS/13.02,2013-11-28,IL.001/K-250/13
BAP 13-0998,250/SBM/PRS/13.02,2013-11-28,IL.001/K-250/13
BAP 13-0999,247/SPK/EST/13.02,2013-11-28,247/SPK/EST/CG/IX/13
BAP 13-1000,153/SBM/RMH/13.03,2013-11-28,153/SBM/1/27.26.1/V/13
BAP 13-1001,055/SPK/EST/13.09,2013-11-26,055/SPK/EST/CG/III/13
BAP 13-1002,319/SBM/RMH/13.01,2013-11-28,319/SBM/1/36.26.1/X/13
BAP 13-1003,228/SBM/RMH/13.01,2013-11-28,228/SBM/1/5.26.1/VIII/13
BAP 13-1003,228/SBM/RMH/13.01,2013-11-28,228/SBM/1/5.26.1/VIII/13
BAP 13-1005,180/SBM/PRS/13.01,2013-11-28,180/SBM/1/1.1.7/VI/13
BAP 13-1006,019/SBM/ME/12.04,2013-11-28,019/SBM/1/36.5.6/I/12
BAP 13-1006,019/SBM/ME/12.04,2013-11-28,Add-01-019/12
BAP 13-1007,290/SBM/RMH/13.02,2013-11-28,290/SBM/1/36.26.1/IX/13
BAP 13-1008,297/SBM/JPO/13.01,2013-10-10,297/SBM/1/1.1.7/X/13
BAP 13-1009,297/SBM/JPO/13.02,2013-11-28,297/SBM/1/1.1.7/X/13
BAP 13-1009,297/SBM/JPO/13.02,2013-11-28,297/SBM/1/1.1.7/X/13
BAP 13-1009,297/SBM/JPO/13.02,2013-11-28,297/SBM/1/1.1.7/X/13
BAP 13-1011,270/SBM/ME/13.01,2013-11-28,270/SBM/1/1.5.6/IX/13
BAP 13-1012,119/SBM/ME/13.02,2013-11-28,119/SBM/1/38.5.6/IV/13
BAP 13-1013,291/SBM/ME/13.01,2013-11-28,291/SBM/1/1.6.6/IX/13
BAP 13-1013,291/SBM/ME/13.01,2013-11-28,291/SBM/1/1.6.6/IX/13
BAP 13-1014,004/SBM/ME/13.03,2013-11-28,004/SBM/1/38.5.6/I/13
BAP 13-1015,118/SBM/ME/13.02,2013-11-28,118/SBM/1/38.6.6/IV/13
BAP 13-1016,057/SBM/TMN/13.02,2013-11-28,057/SBM/1/38.12.5/III/13
BAP 13-1017,308/SBM/PRS/13.01,2013-11-28,308/SBM/1/31.3.4/X/13
BAP 13-1018,029/SBM/TMN/13.02,2013-11-28,029/SPK/EST/CG/II/13
BAP 13-1019,222/SBM/TMN/13.01,2013-11-28,222/SBM/1/1.12.5/VIII/13
BAP 13-1020,253/SBM/TMN/12.03,2013-11-28,253/SBM/1/36.12.5/X/12
BAP 13-1020,253/SBM/TMN/12.03,2013-11-28,Add-01/253/12
BAP 13-1020,253/SBM/TMN/12.03,2013-11-28,Add-01/253/12
BAP 13-1020,253/SBM/TMN/12.03,2013-11-28,Add-01/253/12
BAP 13-1022,309/SPK/EST/13.01,2013-11-28,309/SPK/EST/CG/X/13
BAP 13-1022,309/SPK/EST/13.01,2013-11-28,IL.002/K-309/13
BAP 13-1023,309/SPK/EST/13.02,2013-11-28,309/SPK/EST/CG/X/13
BAP 13-1023,309/SPK/EST/13.02,2013-11-28,IL.003/K-309/13
BAP 13-1024,304/SBM/RMH/13.01,2013-11-28,304/SBM/1/5.26.1/X/13
BAP 13-1026,058/SBM/TMN/13.02,2013-11-28,058/SBM/1/38.12.5/III/13
BAP 13-1027,051/SBM/RMH/12.10,2013-11-28,051/SBM/1/36.26.1/II/12
BAP 13-1027,051/SBM/RMH/12.10,2013-11-28,IL.009/K-051/12
BAP 13-1027,051/SBM/RMH/12.10,2013-11-28,IL.007/K-051/12
BAP 13-1028,050/SBM/RMH/12.11,2013-11-28,050/SBM/1/36.26.1/II/12
BAP 13-1029,146/SBM/RMH/12.09,2013-11-28,146/SBM/1/36.26.1/VII/12
BAP 13-1029,146/SBM/RMH/12.09,2013-11-28,IL.003/T-146/12
BAP 13-1030,284/SBM/RMH/12.06,2013-11-28,284/SBM/1/38.26.1/XI/12
BAP 13-1030,284/SBM/RMH/12.06,2013-11-28,IL.008/T-284/13
BAP 13-1030,284/SBM/RMH/12.06,2013-11-28,IL.008/T-284/13
BAP 13-1031,261/SBM/PRS/13.02,2013-11-28,261/SBM/1/27.3.4/IX/13
BAP 13-1032,320/SPK/EST/13.01,2013-11-28,320/SPK/EST/CG/X/13
BAP 13-1033,249/SPK/EST/13.01,2013-11-28,249/SPK/EST/CG/IX/13
BAP 13-1034,009/SBM/PRS/13.02,2013-11-28,009/SBM/1/36.13.4/I/13
BAP 13-1034,009/SBM/PRS/13.02,2013-11-28,IL.002/K-009/13
BAP 13-1035,116/SBM/RMH/13.04,2013-11-28,116/SBM/1/35.26.1/IV/13
BAP 13-1036,292/SBM/1/38.26.1/2,2013-11-28,292/SBM/1/38.26.1/IX/13
BAP 13-1037,226/SBM/RMH/13.03,2013-11-28,226/SBM/1/36.26.1/VII/13
BAP 13-1038,311/SBM/RMH/13.02,2013-12-03,311/SBM/1/35.26.1/X/13
BAP 13-1039,237/SBM/RMH/13.02,2013-11-28,237/SBM/1/35.26.1/VIII/13
BAP 13-1040,321/SBM/KSL/13.02,2013-11-28,321/SBM/1/1.1.7/X/13
BAP 13-1041,233/SBM/RMH/12.10,2013-11-28,233/SBM/1/36.26.1/X/12
BAP 13-1042,197/SBM/RMH/12.07,2013-11-28,197/SBM/1/36.26.1/VIII/12
BAP 13-1043,167/SBM/RMH/12.10,2013-11-28,167/SBM/1/36.26.1/VII/12
BAP 13-1044,269/SBM/RMH/13.03,2013-11-28,269/SBM/1/36.26.1/IX/13
BAP 13-1045,265/SBM/RMH/13.02,2013-11-07,265/SBM/1/36.26.1/IX/13
BAP 13-1046,285/SBM/RMH/13.03,2013-11-28,285/SBM/1/36.26.1/IX/13
BAP 13-1047,036/SBM/RMH/13.09,2013-11-28,036/SBM/1/36.26.1/II/13
BAP 13-1048,054/SBM/RMH/13.08,2013-11-28,054/SBM/1/36.26.1/III/13
BAP 13-1049,267/SBM/PRS/13.01,2013-11-28,267/SBM/1/27.3.4/IX/13
BAP 13-1050,306/SPK/EST/13.02,2013-11-28,306/SPK/EST/CG/X/13
BAP 13-1051,287/SPK/EST/13.01,2013-11-28,287/SPK/EST/CG/IX/13
BAP 13-1052,265/SBM/RMH/13.03,2013-11-28,265/SBM/1/36.26.1/IX/13
BAP 13-1053,330/SBM/PROM/13.02,2013-11-28,330/SBM/Prom/Mkt/X/13
BAP 13-1054,VOUCHER 13-0001,2013-11-28,355/SBM/1/36.26.1/XI/13
BAP 13-1055,064/SBM/RMH/13.03,2013-11-19,064/SBM/1/31.26.1/III/13
BAP 13-1056,262/SPK/EST/13.02,2013-11-28,262/SPK/EST/CG/IX/13
BAP 13-1057,324/SPK/EST/13.01,2013-11-28,324/SPK/EST/CG/X/13
BAP 13-1058,200/SBM/PRS/12.03,2013-12-05,200/SBM/1/1.6.6/VIII/12
BAP 13-1059,180/SBM/RMH/12.07,2013-12-05,180/SBM/1/38.26.1/VIII/12
BAP 13-1059,180/SBM/RMH/12.07,2013-12-05,IL.004/T-180/12
BAP 13-1059,180/SBM/RMH/12.07,2013-12-05,IL.004/T-180/12
BAP 13-1059,180/SBM/RMH/12.07,2013-12-05,IL...005/T-180/12
BAP 13-1059,180/SBM/RMH/12.07,2013-12-05,IL...005/T-180/12
BAP 13-1059,180/SBM/RMH/12.07,2013-12-05,IL...005/T-180/12
BAP 13-1059,180/SBM/RMH/12.07,2013-12-05,IL.004/T-180/12
BAP 13-1060,189/SBM/RMH/12.06,2013-12-05,189/SBM/1/38.26.1/VIII/12
BAP 13-1060,189/SBM/RMH/12.06,2013-12-05,IL.004/T-189/12
BAP 13-1060,189/SBM/RMH/12.06,2013-12-05,IL.005/T-189/12
BAP 13-1060,189/SBM/RMH/12.06,2013-12-05,IL.005/T-189/12
BAP 13-1060,189/SBM/RMH/12.06,2013-12-05,IL.005/T-189/12
BAP 13-1062,358/SBM/RMH/13.01,2013-12-05,358/SBM/1/5.26.1/XI/13
BAP 13-1063,360/SBM/RMH/13.01,2013-12-05,360/SBM/1/35.26.1/XI/13
BAP 13-1064,362/SBM/RMH/13.01,2013-12-05,362/SBM/1/5.26.1/XI/13
BAP 13-1065,361/SBM/RMH/13.01,2013-12-05,361/SBM/1/35.26.1/XI/13
BAP 13-1067,023/SBM/RMH/12.07,2013-12-05,023/SBM/1/35.26.1/II/12
BAP 13-1068,238/SBM/RMH/13.02,2013-12-05,238/SBM/1/26.26.1/VIII/13
BAP 13-1069,231/SBM/RMH/13.02,2013-12-05,231/SBM/1/5.26.1/VIII/13
BAP 13-1070,184/SBM/RMH/12.07,2013-12-05,184/SBM/1/38.26.1/VIII/12
BAP 13-1070,184/SBM/RMH/12.07,2013-12-05,IL.003/T-184/12
BAP 13-1070,184/SBM/RMH/12.07,2013-12-05,IL.003/T-184/12
BAP 13-1070,184/SBM/RMH/12.07,2013-12-05,IL.003/T-184/12
BAP 13-1071,302/SBM/RMH/13.01,2013-12-05,302/SBM/1/35.26.1/X/13
BAP 13-1071,302/SBM/RMH/13.01,2013-12-05,302/SBM/1/35.26.1/X/13
BAP 13-1072,147/SBM/RMH/12.08,2013-12-19,147/SBM/1/5.26.1/VII/12
BAP 13-1073,356/SBM/RMH/13.01,2013-12-05,356/SBM/1/38.26.1/XI/13
BAP 13-1074,095/SBM/TMN/13.03,2013-12-10,095/SBM/1/38.12.5/IV/13
BAP 13-1074,095/SBM/TMN/13.03,2013-12-10,IL.002/T-095/13
BAP 13-1074,095/SBM/TMN/13.03,2013-12-10,IL.002/T-095/13
BAP 13-1076,126/SBM/RMH/13.05,2013-12-10,126/SBM/1/35.26.1/V/13
BAP 13-1077,022/SBM/RMH/13.06,2013-12-10,022/SBM/1/35.26.1/II/13
BAP 13-1078,313/SBM/MASJID/13.02,2013-12-16,313/SBM/1/1.16.3/X/13
BAP 13-1079,334/SBM/PROM/13.01,2013-12-16,334/SBM/PROM/MKT/X/13
BAP 13-1080,332/SBM/PROM/13.01,2013-12-16,332/SBM/PROM/MKT/X/13
BAP 13-1081,331/SBM/PROM/13.01,2013-12-16,331/SBM/PROM/MKT/X/13
BAP 13-1082,116/SBM/RMH/13.05,2013-12-19,116/SBM/1/35.26.1/IV/13
BAP 13-1083,327/SBM/ME/13.01,2013-12-19,327/SBM/1/27.7.6/X/13
BAP 13-1084,055/SPK/EST/13.10,2013-12-19,055/SPK/EST/CG/III/13
BAP 13-1085,298/SBM/RMH/12.07,2013-12-19,298/SBM/1/38.26.1/XI/12
BAP 13-1086,293/SBM/PRS/13.02,2014-01-08,293/SBM//36.3.4/IX/13
BAP 13-1087,323/SBM/PRS/12.02,2014-01-08,323/SBM/1/38.24.4/XII/12
