no_voucher,dpp,ppn,pph
024/SPK/EST/13.02,43084600,0,1723384
051/SBM/PRS/13.01,8208000,0,328320
248/SBM/ME/12.02,115909091,11590909,3477273
247/SBM/RMH/12.04,106535338,10653534,3196060
009/SBM/PRS/13.01,11908250,0,476330
009/SBM/PRS/13.01,11908250,0,476330
009/SBM/PRS/13.01,11908250,0,476330
009/SBM/PRS/13.01,11908250,0,476330
218/SBM/PRS/12.03,99631000,0,3985240
218/SBM/PRS/12.03,99631000,0,3985240
218/SBM/PRS/12.03,99631000,0,3985240
218/SBM/PRS/12.03,99631000,0,3985240
288/SPK/EST/12.02,2500000,0,100000
013/SBM/PRS/12.02,6400150,0,256006
018/SBM/ME/12.04,72998000,7299800,2919920
018/SBM/ME/12.04,72998000,7299800,2919920
018/SBM/ME/12.04,72998000,7299800,2919920
285/SBM/PRS/12.01,3541011,354101,141640
015/SPK/EST/13.01,17465750,1746575,698630
015/SPK/EST/13.01,17465750,1746575,698630
282/SPK/EST/12.01,6909091,690909,276364
036/SBM/RMH/13.01,143080660,14308066,4292420
035/SBM/RMH/13.01,179257411,17925741,5377722
317/SBM/PRS/13.01,18738750,0,749550
039/SPK/EST/13.01,14250000,0,570000
223/SBM/RMH/12.03,92031744,9203174,3681270
006/SBM/PRS/12.01,43181818,4318182,863636
254/SBM/RMH/12.04,70632491,7063249,1412650
055/SPK/EST/13.01,45475000,4547500,909500
025/SPK/EST/13.01,6998958,0,279958
251/SBM/PRS/12.02,8550000,855000,171000
014/SPK/EST/13.01,75173500,0,3006940
014/SPK/EST/13.01,75173500,0,3006940
280/SBM/RMH/12.02,184401742,18440174,3688035
025/SPK/EST/13.02,6299062,0,251962
117/SBM/PRS/12.02,5447227,544723,163417
063/SBM/RMH/13.01,7655314,0,306213
190/SBM/PRS/12.02,4500000,450000,135000
263/SBM/PRS/12.02,4034250,403425,121028
166/SBM/RMH/12.05,258015657,25801566,10320626
147/SBM/RMH/12.04,253102401,25310240,5062048
270/SBM/RMH/12.04,76925604,7692560,1538512
050/SBM/RMH/13.01,39942000,3994200,798840
044/SBM/RMH/13.01,39942000,3994200,798840
064/SBM/RMH/13.01,62118000,6211800,1242360
225/SBM/PRS/12.02,56072207,5607221,1121444
225/SBM/PRS/12.02,56072207,5607221,1121444
225/SBM/PRS/12.02,56072207,5607221,1121444
225/SBM/PRS/12.02,56072207,5607221,1121444
225/SBM/PRS/12.02,56072207,5607221,1121444
284/SBM/RMH/12.03,209414081,20941408,8376563
042/SBM/PRS/13.01,6227250,0,249090
033/SBM/PND/13.01,252600000,25260000,5052000
167/SBM/RMH/12.07,103472723,10347272,3104182
233/SBM/RMH/12.04,33217096,3321710,996513
106/SBM/ME/12.01,122764401,12276440,4910576
106/SBM/ME/12.01,122764401,12276440,4910576
109/SBM/TMN/12.02,525761,52576,15773
163/SBM/ME/12.02,279200000,27920000,5584000
163/SBM/ME/12.02,279200000,27920000,5584000
163/SBM/ME/12.02,279200000,27920000,5584000
163/SBM/ME/12.02,279200000,27920000,5584000
163/SBM/ME/12.02,279200000,27920000,5584000
324/SBM/PRS/12.02,44158457,4415846,883169
324/SBM/PRS/12.02,44158457,4415846,883169
324/SBM/PRS/12.02,44158457,4415846,883169
228/SBM/RMH/12.3,125879463,12587946,5035178
169/SBM/PRS/12.02,224269091,22426909,4485382
169/SBM/PRS/12.02,224269091,22426909,4485382
169/SBM/PRS/12.02,224269091,22426909,4485382
169/SBM/PRS/12.02,224269091,22426909,4485382
169/SBM/PRS/12.02,224269091,22426909,4485382
169/SBM/PRS/12.02,224269091,22426909,4485382
203/SBM/EST/12.02,8224925,0,328997
016/SBM/RMH/13.01,48206991,4820699,964140
032/SBM/PROM/13.01,245250000,24525000,4905000
146/SBM/RMH/12.06,140452760,14045276,4213583
033/SBM/PND/13.02,252600000,25260000,5052000
022/SBM/RMH/12.05,49712680,4971268,1491380
022/SBM/RMH/12.05,49712680,4971268,1491380
022/SBM/RMH/12.05,49712680,4971268,1491380
022/SBM/RMH/12.05,49712680,4971268,1491380
022/SBM/RMH/12.05,49712680,4971268,1491380
022/SBM/RMH/12.05,49712680,4971268,1491380
158/SBM/TMN/12.02,1625636,162564,32513
158/SBM/TMN/12.02,1625636,162564,32513
091/SBM/TMN/12.02,732727,73273,14655
091/SBM/TMN/12.02,732727,73273,14655
159/SBM/TMN/12.02,485273,48527,9705
299/SBM/RMH/12.02,297860562,29786056,11914422
019/SBM/PRS/13.01,13224864,1322486,264497
080/SPK/EST/13.01,17623309,0,704932
077/SBM/PRS/13.01,7916666,0,316667
078/SPK/EST/CG/IV/13,6817200,0,272688
175/SBM/RMH/12.06,27809365,2780937,556187
007/SPK/TMN/13.04,3600000,360000,144000
079/SPK/EST/13.01,16288329,0,651533
165/SBM/PRS/12.02,60221930,0,2408877
165/SBM/PRS/12.02,60221930,0,2408877
165/SBM/PRS/12.02,60221930,0,2408877
165/SBM/PRS/12.02,60221930,0,2408877
165/SBM/PRS/12.02,60221930,0,2408877
279/SBM/RUKO/12.02,541456422,54145642,10829128
283/SBM/PRS/12.03,20943877,0,418878
283/SBM/PRS/12.03,20943877,0,418878
283/SBM/PRS/12.03,20943877,0,418878
283/SBM/PRS/12.03,20943877,0,418878
283/SBM/PRS/12.03,20943877,0,418878
283/SBM/PRS/12.03,20943877,0,418878
283/SBM/PRS/12.03,20943877,0,418878
238/SBM/RMH/12.04,110803075,11080308,2216062
035/SBM/RMH/13.02,104680353,10468035,3140411
314/SBM/KSL/12.01,21916500,2191650,876660
041/SBM/KSL/13.01,2500000,0,150000
023/SBM/KSL/13.01,5500000,0,330000
247/SBM/RMH/12.05,71193370,7119337,2135801
134/SBM/RMH/12.04,6783000,678300,135660
041/SBM/RMH/12.08,77035500,7703550,1540710
120/SBM/RMH/12.07,64455702,6445570,1289114
254/SBM/RMH/12.05,42807570,4280757,856151
276/SBM/RMH/12.03,71885479,7188548,1437710
325/SBM/RMH/12.02,32689203,3268920,653784
325/SBM/RMH/12.02,32689203,3268920,653784
325/SBM/RMH/12.02,32689203,3268920,653784
325/SBM/RMH/12.02,32689203,3268920,653784
221/SBM/RMH/12.05,189867587,18986759,3797352
330/SBM/12.01,42680935,4268094,853619
330/SBM/12.01,42680935,4268094,853619
330/SBM/12.02,29370770,2937077,587415
074/SBM/13.01,95696727,9569673,2870902
047/SPK/EST/13.02,66044953,6604495,2641798
047/SPK/EST/13.02,66044953,6604495,2641798
066/SBM/RMH/13.01,79878000,7987800,2396340
075/SBM/RMH/13.1,28066500,2806650,841995
329/SBM/PROM/12.03,10875000,1087500,217500
034/SBM/RMH/13.01,241605000,24160500,4832100
290/SBM/RMH/12.02,87009146,8700915,1740183
232/SBM/RMH/12.02,442584730,44258473,8851695
232/SBM/RMH/12.02,442584730,44258473,8851695
232/SBM/RMH/12.02,442584730,44258473,8851695
071/SBM/RMH/12.05,147625745,14762575,2952515
071/SBM/RMH/12.05,147625745,14762575,2952515
071/SBM/RMH/12.05,147625745,14762575,2952515
071/SBM/RMH/12.05,147625745,14762575,2952515
071/SBM/RMH/12.05,147625745,14762575,2952515
222/SBM/RMH/12.04,146390656,14639066,2927813
222/SBM/RMH/12.04,146390656,14639066,2927813
222/SBM/RMH/12.04,146390656,14639066,2927813
222/SBM/RMH/12.04,146390656,14639066,2927813
023/SBM/RMH/12.06,24568698,2456870,491374
059/SBM/MAL/13.01,77500000,7750000,1550000
055/SPK/EST/13.02,45475000,4547500,909500
305/SBM/RMH/12.03,150185038,15018504,6007402
296/SBM/RMH/12.02,178551546,17855155,3571031
085/SBM/RMH/13.01,53320500,5332050,1066410
089/SBM/RMH/13.01,66780000,6678000,1335600
096/SBM/RMH/13.01,119460003,11946000,2389200
147/SBM/RMH/12.05,148208750,14820875,2964175
005/SBM/PRS/13.01,29946572,0,1197863
005/SBM/PRS/13.01,29946572,0,1197863
069/SBM/RMH/12.08,22284249,2228425,445685
046/SPK/EST/13.01,26392900,0,1055716
046/SPK/EST/13.01,26392900,0,1055716
046/SPK/EST/13.01,26392900,0,1055716
046/SPK/EST/13.01,26392900,0,1055716
072/SBM/KSL/13.01,50000000,5000000,3000000
166/SBM/RMH/12.06,187235468,18723547,7489419
162/SBM/ME/12.02,1740415000,174041500,34808300
162/SBM/ME/12.02,1740415000,174041500,34808300
162/SBM/ME/12.02,1740415000,174041500,34808300
162/SBM/ME/12.02,1740415000,174041500,34808300
162/SBM/ME/12.02,1740415000,174041500,34808300
162/SBM/ME/12.02,1740415000,174041500,34808300
162/SBM/ME/12.02,1740415000,174041500,34808300
225/SBM/PRS/12.03,4445020,444502,88900
225/SBM/PRS/12.03,4445020,444502,88900
225/SBM/PRS/12.03,4445020,444502,88900
320/SBM/RMH/12.03,84342535,8434254,1686851
253/SBM/TMN/12.02   ,60000000,6000000,1800000
038/SBM/TMN/13.01,86727272,8672727,2601818
038/SBM/TMN/13.01,86727272,8672727,2601818
038/SBM/TMN/13.01,86727272,8672727,2601818
029/SBM/TMN/13.01,17590910,1759091,527727
029/SBM/TMN/13.01,17590910,1759091,527727
094/SBM/TMN/13.01,20423250,0,816930
094/SBM/TMN/13.01,20423250,0,816930
003/SBM/PRS/13.01,24739584,0,989583
003/SBM/PRS/13.01,24739584,0,989583
092SBM/PND/13.01,8333333,0,333333
167/SBM/RMH/12.08,51316424,5131642,1539493
036/SBM/RMH/13.02,124422942,12442294,3732688
233/SBM/RMH/12.05,53920039,5392004,1617601
080/SPK/EST/13.02,15860978,0,634439
183/SBM/RMH/12.04,115783350,11578335,3473500
053/SPK/EST/13.01,75065546,7506555,2251966
053/SPK/EST/13.01,75065546,7506555,2251966
062/SBM/RMH/13.01,102060000,10206000,3061800
102/SBM/RMH/13.01,128817818,12881782,3864535
048/SBM/RMH/13.01,24960000,2496000,499200
050/SBM/RMH/13.02,16621198,1662120,332424
010/SBM/RMH/12.06,266591958,26659196,7997759
010/SBM/RMH/12.06,266591958,26659196,7997759
010/SBM/RMH/12.06,266591958,26659196,7997759
010/SBM/RMH/12.06,266591958,26659196,7997759
010/SBM/RMH/12.06,266591958,26659196,7997759
009/SBM/RMH/12.07,210678774,21067877,6320363
009/SBM/RMH/12.07,210678774,21067877,6320363
009/SBM/RMH/12.07,210678774,21067877,6320363
009/SBM/RMH/12.07,210678774,21067877,6320363
009/SBM/RMH/12.07,210678774,21067877,6320363
009/SBM/RMH/12.07,210678774,21067877,6320363
009/SBM/RMH/12.07,210678774,21067877,6320363
049/SBM/RMH/12.07,114795732,11479573,3443872
049/SBM/RMH/12.07,114795732,11479573,3443872
049/SBM/RMH/12.07,114795732,11479573,3443872
090/SPK/EST/13.01,10602950,0,424118
215/SPK/EST/12.02,1456000,0,58240
030/SBM/PRS/13.01,59850000,0,2394000
177/SBM/EST/12.03,1814823,0,72593
033/SBM/PND/13.03,252600000,25260000,5052000
057/SBM/TMN/13.01,41110364,4111036,1233311
057/SBM/TMN/13.01,41110364,4111036,1233311
057/SBM/TMN/13.01,41110364,4111036,1233311
