project_id,no_spk,no_bap,no,date,termyn,job_percent,payment_percent,nilai,retensi
3,184/SBM/1/38.26.1/VIII/12,BAP 13-0079,184/SBM/1/38.26.1/VIII/12,2012-09-16,2,25,25,290592911,14529646
3,180/SBM/1/38.26.1/VIII/12,BAP 13-0080,180/SBM/1/38.26.1/VIII/12,2012-09-06,2,27,27,276209796,13810490
3,322/SBM/1/1.1.7/XII/12,BAP 13-0081,322/SBM/1/1.1.7/XII/12,2012-12-17,1,100,100,19914894,0
3,270/SBM/1/31.26.1/X/12,BAP 13-0082,270/SBM/1/31.26.1/X/12,2012-11-30,2,17,17,89203632,4460182
3,320/SBM/1/31.26.1/XII/12,BAP 13-0083,320/SBM/1/31.26.1/XII/12,2012-12-05,1,23,8,20388648,2997632
3,253/SBM/1/36.12.5/X/12,BAP 13-0084,253/SBM/1/36.12.5/X/12,2012-10-17,0,0,30,60000000,0
3,253/SBM/1/36.12.5/X/12,BAP 13-0084,253/SBM/1/36.12.5/X/12,2012-10-17,1,65,30,60000000,0
3,329/SBM/Prom/Mkt/XII/12,BAP 13-0085,329/SBM/Prom/Mkt/XII/12,2013-01-17,1,50,50,108750000,0
3,200/SBM/1/1.6.6/VIII/12,BAP 13-0087,200/SBM/1/1.6.6/VIII/12,2012-08-27,0,25,20,372727273,0
3,200/SBM/1/1.6.6/VIII/12,BAP 13-0087,200/SBM/1/1.6.6/VIII/12,2012-08-27,1,25,25,465909091,0
3,231/SBM/1/23.4.4/IX/12,BAP 13-0088,231/SBM/1/23.4.4/IX/12,2013-02-05,2,0,5,3385000,0
3,231/SBM/1/23.4.4/IX/12,BAP 13-0088,IL.001/T-231/12,2012-11-21,0,0,50,1019260,0
3,231/SBM/1/23.4.4/IX/12,BAP 13-0088,IL.001/T-231/12,2012-11-21,1,100,45,917334,0
3,231/SBM/1/23.4.4/IX/12,BAP 13-0088,IL.001/T-231/12,2013-02-12,2,0,5,101926,0
3,230/SPK/EST/CG/IX/12,BAP 13-0089,230/SPK/EST/CG/IX/12,2013-02-05,2,0,5,954603,0
3,067/SBM/1/36.26.1/III/12,BAP 13-0090,067/SBM/1/36.26.1/III/12,2012-06-20,4,20,20,61255590,3062780
3,039/SBM/1/36.26.1/II/12,BAP 13-0091,039/SBM/1/36.26.1/II/12,2012-05-17,4,23,23,365025500,18251275
3,040/SBM/1/36.26.1/II/12,BAP 13-0092,040/SBM/1/36.26.1/II/12,2012-05-17,4,9,9,149367780,7468389
3,167/SBM/1/36.26.1/VII/12,BAP 13-0094,167/SBM/1/36.26.1/VII/12,2012-10-30,4,8,8,34037080,1701854
3,197/SBM/1/36.26.1/VIII/12,BAP 13-0095,197/SBM/1/36.26.1/VIII/12,2012-10-16,3,9,9,20886390,1044320
3,233/SBM/1/36.26.1/X/12,BAP 13-0096,233/SBM/1/36.26.1/X/12,2012-10-02,1,27,12,52072312,5918916
3,146/SBM/1/36.26.1/VII/12,BAP 13-0097,146/SBM/1/36.26.1/VII/12,2012-09-06,3,15,15,148949080,7447454
3,010/SBM/1/1.4.4/I/13,BAP 13-0098,010/SBM/1/1.4.4/I/13,2013-01-17,1,100,95,24739584,0
3,007/SPK/EST/CG/I/13,BAP 13-0100,007/SPK/EST/CG/I/13,2013-02-17,2,17,17,3600000,0
3,327/SPK/EST/CG/XII/12,BAP 13-0101,327/SPK/EST/CG/XII/12,2013-01-21,2,17,17,73791139,0
3,328/SPK/EST/CG/XII/12,BAP 13-0102,328/SPK/EST/CG/XII/12,2013-01-21,2,17,17,35112794,0
3,247/SBM/1/38.26.1/X/12,BAP 13-0103,247/SBM/1/38.26.1/X/12,2012-11-15,2,22,22,150148902,7507445
3,175/SBM/1/35.26.1/VIII/12,BAP 13-0105,175/SBM/1/35.26.1/VIII/12,2012-11-02,4,25,25,85967652,4298383
3,254/SBM/1/5.26.1/X/12,BAP 13-0110,254/SBM/1/5.26.1/X/12,2012-11-22,2,17,17,73916715,3695836
3,316/SBM/1/5.13.4/XII/12,BAP 13-0111,316/SBM/1/5.13.4/XII/12,2012-12-11,1,100,95,41410500,0
3,316/SBM/1/5.13.4/XII/12,BAP 13-0111,IL.002/K-316/12,2013-02-11,1,100,95,-12444050,0
3,044/SBM/1/36.26.1/II/12,BAP 13-0114,044/SBM/1/36.26.1/II/12,2012-04-22,3,46,46,526967047,26348352
3,044/SBM/1/36.26.1/II/12,BAP 13-0114,IL.001/K-044/12,2013-01-08,0,0,15,-3837000,0
3,044/SBM/1/36.26.1/II/12,BAP 13-0114,IL.001/K-044/12,2013-01-08,1,58,43,-10871500,-735425
3,044/SBM/1/36.26.1/II/12,BAP 13-0114,IL.004/K-044/12,2013-01-28,0,0,15,-4044955,0
3,044/SBM/1/36.26.1/II/12,BAP 13-0114,IL.004/K-044/12,2013-01-28,1,58,43,-11460705,-775283
