BAP 16-0065,020/PGM/1/1.1.8/VIII/16,2016-11-22,020/PGM/1/1.1.8/VIII/16
BAP 16-0065,020/PGM/1/1.1.8/VIII/16,2016-11-22,020/PGM/1/1.1.8/VIII/16
BAP 16-0066,038/PGM/1/1.3.4/X/16,2016-11-22,038/PGM/1/1.3.4/X/16
BAP 16-0067,040/PGM/1/1.1.8/XI/16,2016-11-29,040/PGM/1/1.1.8/XI/16
BAP 16-0069,037/PGM/1/1.5.4/X/16,2016-11-29,037/PGM/1/1.5.4/X/16
BAP 16-0069,037/PGM/1/1.5.4/X/16,2016-11-29,037/PGM/1/1.5.4/X/16
BAP 16-0070,044/PGM/1/1.13.4/XI/16,2016-11-29,044/PGM/1/1.13.4/XI/16
BAP 16-0076,048/PGM/1/1.12.5/XI/16,2016-12-01,048/PGM/1/1.12.5/XI/16
BAP 16-0077,047/PGM/1/1.12.5/XI/16,2016-12-01,047/PGM/1/1.12.5/XI/16
BAP 16-0081,006/PGM/1/.1.4.4/V/16,2016-12-01,006/PGM/1/.1.4.4/V/16
BAP 16-0082,036/PGM/1/1.27.1/IX/16,2016-12-06,036/PGM/1/1.27.1/IX/16
BAP 16-0083,022/PGM/PROM/MKT/IX/16,2016-12-08,022/PGM/PROM/MKT/IX/16
BAP 16-0084,046/PGM/1/1.12.1/XI/16,2016-12-08,046/PGM/1/1.12.1/XI/16
BAP 16-0085,039/PGM/1/1.1.4/XI/16,2016-12-19,039/PGM/1/1.1.4/XI/16
BAP 16-0086,034/PGM/MKT/PROM/IX/16,2016-12-06,034/PGM/MKT/PROM/IX/16
BAP 16-0087,029/PGM/MKT/PROM/IX/16,2016-12-16,029/PGM/MKT/PROM/IX/16
BAP 16-0088,019/PGM/1/1.5.4/VIII/16,2016-12-20,019/PGM/1/1.5.4/VIII/16
BAP 16-0089,042/PGM/1/1.5.4/XI/16,2016-12-20,042/PGM/1/1.5.4/XI/16
BAP 16-0091,055/PGM/1/1.11.3/XII/16,2016-12-20,055/PGM/1/1.11.3/XII/16
BAP 16-0092,044/PGM/1/1.13.4/XI/16,2016-12-20,044/PGM/1/1.13.4/XI/16
BAP 16-0092,044/PGM/1/1.13.4/XI/16,2016-12-20,044/PGM/1/1.13.4/XI/16
BAP 17-0001,039/PGM/1/1.1.4/XI/16,2017-01-12,039/PGM/1/1.1.4/XI/16
BAP 17-0003,050/PGM/1/1.12.5/XII/16,2017-01-19,050/PGM/1/1.12.5/XII/16
BAP 17-0007,002/PGM/1/1.26.4/I/17,2017-01-24,002/PGM/1/1.26.4/I/17
BAP 17-0008,045/PGM/1/1.27.3/XI/16,2017-01-26,045/PGM/1/1.27.3/XI/16
BAP 17-0009,050/PGM/1/1.12.5/XII/16,2017-02-03,050/PGM/1/1.12.5/XII/16
BAP 17-0010,056/PGM/1/1.27.4/XII/16,2017-02-07,056/PGM/1/1.27.4/XII/16
BAP 17-0010,056/PGM/1/1.27.4/XII/16,2017-02-07,056/PGM/1/1.27.4/XII/16
BAP 17-0013,001/CLCS/2-DC-10/IV/2015,2017-02-08,001/CLCS/2-DC-10/IV/2015
BAP 17-0014,055/PGM/1/1.11.3/XII/16,2017-02-09,055/PGM/1/1.11.3/XII/16
BAP 17-0016,006/PGM/1/1.4.4/I/17,,006/PGM/1/1.4.4/I/17
BAP 17-0022,051/PGM/1/1.12.1/XII/16,2017-02-16,051/PGM/1/1.12.1/XII/16
BAP 17-0022,051/PGM/1/1.12.1/XII/16,2017-02-16,051/PGM/1/1.12.1/XII/16
BAP 17-0024,052/PGM/1/1.12.5/XII/16,2017-02-16,052/PGM/1/1.12.5/XII/16
BAP 17-0024,052/PGM/1/1.12.5/XII/16,2017-02-16,052/PGM/1/1.12.5/XII/16
BAP 17-0025,001/PGM/1/1.3.4/I/17,2017-02-16,001/PGM/1/1.3.4/I/17
BAP 17-0025,001/PGM/1/1.3.4/I/17,2017-02-16,001/PGM/1/1.3.4/I/17
BAP 17-0025,001/PGM/1/1.3.4/I/17,2017-02-16,001/PGM/1/1.3.4/I/17
BAP 17-0025,001/PGM/1/1.3.4/I/17,2017-02-16,001/PGM/1/1.3.4/I/17
BAP 17-0025,001/PGM/1/1.3.4/I/17,2017-02-16,001/PGM/1/1.3.4/I/17
BAP 17-0025,001/PGM/1/1.3.4/I/17,2017-02-16,001/PGM/1/1.3.4/I/17
BAP 17-0026,045/PGM/1/1.27.3/XI/16,2017-02-16,045/PGM/1/1.27.3/XI/16
BAP 17-0027,039/PGM/1/1.1.4/XI/16,2017-02-23,039/PGM/1/1.1.4/XI/16
BAP 17-0028,050/PGM/1/1.12.5/XII/16,2017-03-23,050/PGM/1/1.12.5/XII/16
BAP 17-0029,051/PGM/1/1.12.1/XII/16,2017-03-02,051/PGM/1/1.12.1/XII/16
BAP 17-0030,052/PGM/1/1.12.5/XII/16,2017-03-23,052/PGM/1/1.12.5/XII/16
BAP 17-0031,047/PGM/1/1.12.5/XI/16,2017-01-19,047/PGM/1/1.12.5/XI/16
BAP 17-0032,005/PGM/1/1.11.4/I/17,2017-03-07,005/PGM/1/1.11.4/I/17
BAP 17-0033,029/PGM/MKT/PROM/IX/16,2017-03-07,029/PGM/MKT/PROM/IX/16
BAP 17-0034,009/PGM/1/1.27.8/I/17,2017-03-09,009/PGM/1/1.27.8/I/17
BAP 17-0035,044/PGM/1/1.13.4/XI/16,2017-03-14,044/PGM/1/1.13.4/XI/16
BAP 17-0035,044/PGM/1/1.13.4/XI/16,2017-03-14,044/PGM/1/1.13.4/XI/16
BAP 17-0035,044/PGM/1/1.13.4/XI/16,2017-03-14,044/PGM/1/1.13.4/XI/16
BAP 17-0036,007/PGM/1/1.11.3/V/16,2017-03-16,007/PGM/1/1.11.3/V/16
BAP 17-0037,010/PGM/1.1.8/II/17,2017-03-14,010/PGM/1.1.8/II/17
BAP 17-0039,045/PGM/1/1.27.3/XI/16,2017-03-16,045/PGM/1/1.27.3/XI/16
BAP 17-0041,008/PGM/1/1.4.4/I/17,2017-03-23,008/PGM/1/1.4.4/I/17
BAP 17-0041,008/PGM/1/1.4.4/I/17,2017-03-23,008/PGM/1/1.4.4/I/17
BAP 17-0044,033/PGM/MKT/PROM/IX/16,2017-04-06,033/PGM/MKT/PROM/IX/16
BAP 17-0044,033/PGM/MKT/PROM/IX/16,2017-04-06,033/PGM/MKT/PROM/IX/16
BAP 17-0045,034/PGM/MKT/PROM/IX/16,2017-04-06,034/PGM/MKT/PROM/IX/16
BAP 17-0047,044/PGM/1/1.13.4/XI/16,2017-04-13,044/PGM/1/1.13.4/XI/16
BAP 17-0051,045/PGM/1/1.27.3/XI/16,2017-04-11,045/PGM/1/1.27.3/XI/16
BAP 17-0053,017/PGM/1/1.7.4/III/17,2017-04-13,017/PGM/1/1.7.4/III/17
BAP 17-0054,005/PGM/1/1.11.4/I/17,2017-04-20,005/PGM/1/1.11.4/I/17
BAP 17-0056,012/PGM/1/1.27.8/III/17,2017-03-30,012/PGM/1/1.27.8/III/17
BAP 17-0057,012/PGM/1/1.27.8/III/17,2017-04-27,012/PGM/1/1.27.8/III/17
BAP 17-0058,011/PGM/1/1.3.4/II.17,2017-04-27,011/PGM/1/1.3.4/II.17
BAP 17-0059,026/PGM/MKT/PROM/III/17,2017-05-02,026/PGM/MKT/PROM/III/17
BAP 17-0060,005/PGM/1/1.11.4/I/17,2017-05-12,005/PGM/1/1.11.4/I/17
BAP 17-0061,021/PGM/1/1.3.4/IV/17,2017-05-16,021/PGM/1/1.3.4/IV/17
BAP 17-0062,003/PGM/1/1.4.4/I/17,2017-05-17,003/PGM/1/1.4.4/I/17
BAP 17-0063,016/PGM/MKT/PROM/III/17,2017-05-18,016/PGM/MKT/PROM/III/17
BAP 17-0064,007/PGM/1/1.27.4/I/17,2017-05-23,007/PGM/1/1.27.4/I/17
BAP 17-0064,007/PGM/1/1.27.4/I/17,2017-05-23,007/PGM/1/1.27.4/I/17
BAP 17-0064,007/PGM/1/1.27.4/I/17,2017-05-23,007/PGM/1/1.27.4/I/17
BAP 17-0064,007/PGM/1/1.27.4/I/17,2017-05-23,007/PGM/1/1.27.4/I/17
BAP 17-0065,025/PGM/1/1.12.5/IV/17,2017-05-23,025/PGM/1/1.12.5/IV/17
BAP 17-0065,025/PGM/1/1.12.5/IV/17,2017-05-23,025/PGM/1/1.12.5/IV/17
BAP 17-0065,025/PGM/1/1.12.5/IV/17,2017-05-23,025/PGM/1/1.12.5/IV/17
BAP 17-0066,021/PGM/1/1.3.4/IV/17,2017-05-23,021/PGM/1/1.3.4/IV/17
BAP 17-0067,043/PGM/1/1.27.3/XI/16,2017-05-23,043/PGM/1/1.27.3/XI/16
BAP 17-0067,043/PGM/1/1.27.3/XI/16,2017-05-23,043/PGM/1/1.27.3/XI/16
BAP 17-0067,043/PGM/1/1.27.3/XI/16,2017-05-23,043/PGM/1/1.27.3/XI/16
BAP 17-0067,043/PGM/1/1.27.3/XI/16,2017-05-23,043/PGM/1/1.27.3/XI/16
BAP 17-0067,043/PGM/1/1.27.3/XI/16,2017-05-23,043/PGM/1/1.27.3/XI/16
BAP 17-0067,043/PGM/1/1.27.3/XI/16,2017-05-23,043/PGM/1/1.27.3/XI/16
BAP 17-0068,052/PGM/1/1.12.5/XII/16,2017-05-23,052/PGM/1/1.12.5/XII/16
BAP 17-0069,050/PGM/1/1.12.5/XII/16,2017-05-23,050/PGM/1/1.12.5/XII/16
BAP 17-0069,050/PGM/1/1.12.5/XII/16,2017-05-23,050/PGM/1/1.12.5/XII/16
BAP 17-0069,050/PGM/1/1.12.5/XII/16,2017-05-23,050/PGM/1/1.12.5/XII/16
BAP 17-0069,050/PGM/1/1.12.5/XII/16,2017-05-23,050/PGM/1/1.12.5/XII/16
BAP 17-0070,023/PGM/1/1.12.5/IV/17,2017-05-23,023/PGM/1/1.12.5/IV/17
