project_id,no_spk,no_bap,date,termyn,job_percent,payment_percent,nilai,retensi
61,043/PGM/1/1.27.3/XI/16,BAP 17-0116,2016-11-15,0,0,25,7642225,0
61,043/PGM/1/1.27.3/XI/16,BAP 17-0116,2016-11-21,1,40,15,4585335,611378
61,043/PGM/1/1.27.3/XI/16,BAP 17-0116,2016-12-21,2,15,15,4585335,229267
61,043/PGM/1/1.27.3/XI/16,BAP 17-0116,2017-01-21,3,15,15,4585335,229267
61,043/PGM/1/1.27.3/XI/16,BAP 17-0116,2017-02-21,4,15,15,4585335,229267
61,043/PGM/1/1.27.3/XI/16,BAP 17-0116,2017-03-21,5,15,15,4585335,229267
61,043/PGM/1/1.27.3/XI/16,BAP 17-0116,2017-05-03,6,0,5,1528445,0
61,014/PGM/1/1.27.8/III/17,BAP 17-0117,2017-03-08,0,0,50,31818182,0
61,014/PGM/1/1.27.8/III/17,BAP 17-0117,2017-03-13,1,100,50,31818182,0
61,040/PGM/1/1.1.4/IX/17,BAP 17-0118,2017-09-20,1,100,50,3158750,0
61,039/PGM/1/7.26.1/IX/17,BAP 17-0119,2017-09-20,0,0,15,462878460,0
61,005/PGM/1/1.11.4/I/17,BAP 17-0122,2017-01-23,0,0,30,23238000,0
61,005/PGM/1/1.11.4/I/17,BAP 17-0122,2017-01-31,1,44,14,10844400,1704120
61,005/PGM/1/1.11.4/I/17,BAP 17-0122,2017-02-28,2,14,14,10844400,542220
61,005/PGM/1/1.11.4/I/17,BAP 17-0122,2017-03-28,3,14,14,10844400,542220
61,005/PGM/1/1.11.4/I/17,BAP 17-0122,2017-04-28,4,14,14,10844400,542220
61,005/PGM/1/1.11.4/I/17,BAP 17-0122,2017-05-28,5,14,14,10844400,542220
61,005/PGM/1/1.11.4/I/17,BAP 17-0122,2017-07-11,6,0,5,3873000,0
61,042/PGM/1/1.1.8/IX/17,BAP 17-0124,2017-09-28,1,100,100,2974359,0
61,038/PGM/1/7.26.1/IX/17,BAP 17-0125,2017-09-13,0,0,15,422202780,0
61,020/PGM/1/1.1.4/IX/17,BAP 17-0126,2017-09-07,0,0,15,59355000,0
61,031/PGM/1/1.1.8/VI/17,BAP 17-0127,2017-06-08,1,100,100,5909091,0
61,041/PGM/1/7.4.4/IX/17,BAP 17-0128,2017-09-26,0,0,15,1337850000,0
61,013/PGM/1/1.27.8/III/17,BAP 17-0129,2017-09-25,2,0,5,2954269,0
61,035/PGM/1/1.2.4/VIII/17,BAP 17-0130,2017-10-06,2,29,29,613024800,30651240
61,047/PGM/MKT/PROM/XI/17,BAP 17-0131,2017-11-20,1,50,50,750000000,0
61,035/PGM/1/1.2.4/VIII/17,BAP 17-0132,2017-11-06,3,17,17,366765180,18338259
61,038/PGM/1/7.26.1/IX/17,BAP 17-0133,2017-09-25,1,31,16,450068163,43613547
61,008/PGM/1/1.4.4/I/17,BAP 17-0136,2017-01-30,0,0,15,50544402,0
61,008/PGM/1/1.4.4/I/17,BAP 17-0136,2017-02-20,1,32,17,57283656,5391403
61,008/PGM/1/1.4.4/I/17,BAP 17-0136,2017-03-20,2,17,17,57283656,2864183
61,008/PGM/1/1.4.4/I/17,BAP 17-0136,2017-04-20,3,17,17,57283656,2864183
61,008/PGM/1/1.4.4/I/17,BAP 17-0136,2017-05-20,4,17,17,57283656,2864183
61,008/PGM/1/1.4.4/I/17,BAP 17-0136,2017-06-20,5,17,17,57283656,2864183
61,008/PGM/1/1.4.4/I/17,BAP 17-0137,2017-08-28,6,0,5,22345000,0
61,008/PGM/1/1.4.4/I/17,BAP 17-0137,2017-08-28,6,0,5,16848134,0
61,045/PGM/1/1.12.5/XI/17,BAP 17-0138,2017-11-08,0,0,30,8310000,0
61,045/PGM/1/1.12.5/XI/17,BAP 17-0138,2017-11-15,1,60,30,8310000,0
61,045/PGM/1/1.12.5/XI/17,BAP 17-0138,2017-12-15,2,40,30,8310000,0
61,039/PGM/1/7.26.1/IX/17,BAP 17-0142,2017-09-26,1,23,8,243566645,35317627
61,043/PGM/1/1.12.5/X/17,BAP 17-0144,2017-10-13,1,30,30,12630000,0
61,043/PGM/1/1.12.5/X/17,BAP 17-0144,2017-11-13,2,30,30,12630000,0
61,043/PGM/1/1.12.5/X/17,BAP 17-0144,2017-12-13,3,40,30,12630000,0
61,048/PGM/MKT/PROM/XI/17,BAP 17-0145,2017-11-22,1,50,50,99000000,0
61,048/PGM/MKT/PROM/XI/17,BAP 17-0145,2017-12-22,2,50,50,99000000,0
61,049/PGM/MKT/PROM/XI/17,BAP 17-0146,2017-11-23,1,50,50,126000000,0
